"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","637","basic test","chromium","2026-07-22","passed","2026-07-22","Test suite1 @block","firstTest.spec.ts","",""
"","490","basic Datepicker","chromium","2026-07-22","passed","2026-07-22","Test suite1 @block","firstTest.spec.ts","",""
